Verb,conjugation,subject,option,verb_translation,subject_translation,option_translation,verb_base,subject_base,option_base
aller, irais, 1-sg, conditionnel-present, go, i, conditionnel present,aller,,
aller, irais, 2-sg, conditionnel-present, go, you, conditionnel present,aller,,
aller, irait, 3-sg-m, conditionnel-present, go, he, conditionnel present,aller,,
aller, irait, 3-sg-f, conditionnel-present, go, she, conditionnel present,aller,,
aller, irait, 3-sg-n, conditionnel-present, go, it, conditionnel present,aller,,
aller, irions, 1-pl, conditionnel-present, go, we, conditionnel present,aller,,
aller, iriez, 2-pl, conditionnel-present, go, you all, conditionnel present,aller,,
aller, iraient, 3-pl-m, conditionnel-present, go, they (m), conditionnel present,aller,,
aller, iraient, 3-pl-f, conditionnel-present, go, they (f), conditionnel present,aller,,
aller, va, 1-sg, imperatif-present, go, i, imperatif present,aller,,
aller, allons, 2-sg, imperatif-present, go, you, imperatif present,aller,,
aller, allez, 3-sg-m, imperatif-present, go, he, imperatif present,aller,,
aller, allez, 3-sg-f, imperatif-present, go, she, imperatif present,aller,,
aller, allez, 3-sg-n, imperatif-present, go, it, imperatif present,aller,,
aller, irai, 1-sg, indicatif-futur, go, i, indicatif futur,aller,,
aller, iras, 2-sg, indicatif-futur, go, you, indicatif futur,aller,,
aller, ira, 3-sg-m, indicatif-futur, go, he, indicatif futur,aller,,
aller, ira, 3-sg-f, indicatif-futur, go, she, indicatif futur,aller,,
aller, ira, 3-sg-n, indicatif-futur, go, it, indicatif futur,aller,,
aller, irons, 1-pl, indicatif-futur, go, we, indicatif futur,aller,,
aller, irez, 2-pl, indicatif-futur, go, you all, indicatif futur,aller,,
aller, iront, 3-pl-m, indicatif-futur, go, they (m), indicatif futur,aller,,
aller, iront, 3-pl-f, indicatif-futur, go, they (f), indicatif futur,aller,,
aller, allais, 1-sg, indicatif-imparfait, go, i, indicatif imparfait,aller,,
aller, allais, 2-sg, indicatif-imparfait, go, you, indicatif imparfait,aller,,
aller, allait, 3-sg-m, indicatif-imparfait, go, he, indicatif imparfait,aller,,
aller, allait, 3-sg-f, indicatif-imparfait, go, she, indicatif imparfait,aller,,
aller, allait, 3-sg-n, indicatif-imparfait, go, it, indicatif imparfait,aller,,
aller, allions, 1-pl, indicatif-imparfait, go, we, indicatif imparfait,aller,,
aller, alliez, 2-pl, indicatif-imparfait, go, you all, indicatif imparfait,aller,,
aller, allaient, 3-pl-m, indicatif-imparfait, go, they (m), indicatif imparfait,aller,,
aller, allaient, 3-pl-f, indicatif-imparfait, go, they (f), indicatif imparfait,aller,,
aller, allai, 1-sg, indicatif-passe-simple, go, i, indicatif passe simple,aller,,
aller, allas, 2-sg, indicatif-passe-simple, go, you, indicatif passe simple,aller,,
aller, alla, 3-sg-m, indicatif-passe-simple, go, he, indicatif passe simple,aller,,
aller, alla, 3-sg-f, indicatif-passe-simple, go, she, indicatif passe simple,aller,,
aller, alla, 3-sg-n, indicatif-passe-simple, go, it, indicatif passe simple,aller,,
aller, all̢mes, 1-pl, indicatif-passe-simple, go, we, indicatif passe simple,aller,,
aller, all̢tes, 2-pl, indicatif-passe-simple, go, you all, indicatif passe simple,aller,,
aller, all̬rent, 3-pl-m, indicatif-passe-simple, go, they (m), indicatif passe simple,aller,,
aller, all̬rent, 3-pl-f, indicatif-passe-simple, go, they (f), indicatif passe simple,aller,,
aller, vais, 1-sg, indicatif-present, go, i, indicatif present,aller,,
aller, vas, 2-sg, indicatif-present, go, you, indicatif present,aller,,
aller, va, 3-sg-m, indicatif-present, go, he, indicatif present,aller,,
aller, va, 3-sg-f, indicatif-present, go, she, indicatif present,aller,,
aller, va, 3-sg-n, indicatif-present, go, it, indicatif present,aller,,
aller, allons, 1-pl, indicatif-present, go, we, indicatif present,aller,,
aller, allez, 2-pl, indicatif-present, go, you all, indicatif present,aller,,
aller, vont, 3-pl-m, indicatif-present, go, they (m), indicatif present,aller,,
aller, vont, 3-pl-f, indicatif-present, go, they (f), indicatif present,aller,,
aller, all̩, 3-sg-m, participe-passe, go, he, participe passe,aller,,
aller, all̩s, 3-pl-m, participe-passe, go, they (m), participe passe,aller,,
aller, all̩e, 3-sg-f, participe-passe, go, she, participe passe,aller,,
aller, all̩es, 3-pl-f, participe-passe, go, they (f), participe passe,aller,,
aller, allasse, 1-sg, subjonctif-imparfait, go, i, subjonctif imparfait,aller,,
