Verb,conjugation,subject,option,verb_translation,subject_translation,option_translation,verb_base
aller, irais, 1-sg, conditionnel-present, go, I, Conditional,aller
aller, irais, 2-sg, conditionnel-present, go, You, Conditional,aller
aller, irait, 3-sg-m, conditionnel-present, go, He, Conditional,aller
aller, irait, 3-sg-f, conditionnel-present, go, She, Conditional,aller
aller, irait, 3-sg-n, conditionnel-present, go, It, Conditional,aller
aller, irions, 1-pl, conditionnel-present, go, We, Conditional,aller
aller, iriez, 2-pl, conditionnel-present, go, You all, Conditional,aller
aller, iraient, 3-pl-m, conditionnel-present, go, They (m), Conditional,aller
aller, iraient, 3-pl-f, conditionnel-present, go, They (f), Conditional,aller
aller, va, 1-sg, imperatif-present, go, I, Imperative,aller
aller, allons, 2-sg, imperatif-present, go, You, Imperative,aller
aller, allez, 3-sg-m, imperatif-present, go, He, Imperative,aller
aller, allez, 3-sg-f, imperatif-present, go, She, Imperative,aller
aller, allez, 3-sg-n, imperatif-present, go, It, Imperative,aller
aller, irai, 1-sg, indicatif-futur, go, I, Indicative,aller
aller, iras, 2-sg, indicatif-futur, go, You, Indicative,aller
aller, ira, 3-sg-m, indicatif-futur, go, He, Indicative,aller
aller, ira, 3-sg-f, indicatif-futur, go, She, Indicative,aller
aller, ira, 3-sg-n, indicatif-futur, go, It, Indicative,aller
aller, irons, 1-pl, indicatif-futur, go, We, Indicative,aller
aller, irez, 2-pl, indicatif-futur, go, You all, Indicative,aller
aller, iront, 3-pl-m, indicatif-futur, go, They (m), Indicative,aller
aller, iront, 3-pl-f, indicatif-futur, go, They (f), Indicative,aller
aller, allais, 1-sg, indicatif-imparfait, go, I, Indicative,aller
aller, allais, 2-sg, indicatif-imparfait, go, You, Indicative,aller
aller, allait, 3-sg-m, indicatif-imparfait, go, He, Indicative,aller
aller, allait, 3-sg-f, indicatif-imparfait, go, She, Indicative,aller
aller, allait, 3-sg-n, indicatif-imparfait, go, It, Indicative,aller
aller, allions, 1-pl, indicatif-imparfait, go, We, Indicative,aller
aller, alliez, 2-pl, indicatif-imparfait, go, You all, Indicative,aller
aller, allaient, 3-pl-m, indicatif-imparfait, go, They (m), Indicative,aller
aller, allaient, 3-pl-f, indicatif-imparfait, go, They (f), Indicative,aller
aller, allai, 1-sg, indicatif-passe-simple, go, I, Indicative,aller
aller, allas, 2-sg, indicatif-passe-simple, go, You, Indicative,aller
aller, alla, 3-sg-m, indicatif-passe-simple, go, He, Indicative,aller
aller, alla, 3-sg-f, indicatif-passe-simple, go, She, Indicative,aller
aller, alla, 3-sg-n, indicatif-passe-simple, go, It, Indicative,aller
aller, all̢mes, 1-pl, indicatif-passe-simple, go, We, Indicative,aller
aller, all̢tes, 2-pl, indicatif-passe-simple, go, You all, Indicative,aller
aller, all̬rent, 3-pl-m, indicatif-passe-simple, go, They (m), Indicative,aller
aller, all̬rent, 3-pl-f, indicatif-passe-simple, go, They (f), Indicative,aller
aller, vais, 1-sg, indicatif-present, go, I, Indicative,aller
aller, vas, 2-sg, indicatif-present, go, You, Indicative,aller
aller, va, 3-sg-m, indicatif-present, go, He, Indicative,aller
aller, va, 3-sg-f, indicatif-present, go, She, Indicative,aller
aller, va, 3-sg-n, indicatif-present, go, It, Indicative,aller
aller, allons, 1-pl, indicatif-present, go, We, Indicative,aller
aller, allez, 2-pl, indicatif-present, go, You all, Indicative,aller
aller, vont, 3-pl-m, indicatif-present, go, They (m), Indicative,aller
aller, vont, 3-pl-f, indicatif-present, go, They (f), Indicative,aller
aller, all̩, 3-sg-m, participe-passe, go, He, Participal,aller
aller, all̩s, 3-pl-m, participe-passe, go, They (m), Participal,aller
aller, all̩e, 3-sg-f, participe-passe, go, She, Participal,aller
aller, all̩es, 3-pl-f, participe-passe, go, They (f), Participal,aller
aller, allasse, 1-sg, subjonctif-imparfait, go, I, Subjonctive,aller
aller, allasses, 2-sg, subjonctif-imparfait, go, You, Subjonctive,aller
aller, all̢t, 3-sg-m, subjonctif-imparfait, go, He, Subjonctive,aller
aller, all̢t, 3-sg-f, subjonctif-imparfait, go, She, Subjonctive,aller
aller, all̢t, 3-sg-n, subjonctif-imparfait, go, It, Subjonctive,aller
aller, allassions, 1-pl, subjonctif-imparfait, go, We, Subjonctive,aller
aller, allassiez, 2-pl, subjonctif-imparfait, go, You all, Subjonctive,aller
aller, allassent, 3-pl-m, subjonctif-imparfait, go, They (m), Subjonctive,aller
aller, allassent, 3-pl-f, subjonctif-imparfait, go, They (f), Subjonctive,aller
aller, aille, 1-sg, subjonctif-present, go, I, Subjonctive,aller
aller, ailles, 2-sg, subjonctif-present, go, You, Subjonctive,aller
aller, aille, 3-sg-m, subjonctif-present, go, He, Subjonctive,aller
aller, aille, 3-sg-f, subjonctif-present, go, She, Subjonctive,aller
aller, aille, 3-sg-n, subjonctif-present, go, It, Subjonctive,aller
aller, allions, 1-pl, subjonctif-present, go, We, Subjonctive,aller
aller, alliez, 2-pl, subjonctif-present, go, You all, Subjonctive,aller
aller, aillent, 3-pl-m, subjonctif-present, go, They (m), Subjonctive,aller
aller, aillent, 3-pl-f, subjonctif-present, go, They (f), Subjonctive,aller
avoir, aurais, 1-sg, conditionnel-present, have, I, Conditional,avoir
avoir, aurais, 2-sg, conditionnel-present, have, You, Conditional,avoir
avoir, aurait, 3-sg-m, conditionnel-present, have, He, Conditional,avoir
